,Ranking,Titulo,Año,Duración,Rating
188,189,Antes de amanecer,1995,1H41M,8.1
189,190,Blade Runner,1982,1H57M,8.1
190,191,El gran hotel Budapest,2014,1H39M,8.1
191,192,Hasta el último hombre (Hacksaw Ridge),2016,2H19M,8.1
192,193,Perdida,2014,2H29M,8.1
193,194,Memories of Murder (Crónica de un asesino en serie),2003,2H11M,8.1
194,195,En el nombre del padre,1993,2H13M,8.1
195,196,"Monstruos, S.A.",2001,1H32M,8.1
196,197,Ratatouille,2007,1H51M,8.1
197,198,La quimera del oro,1925,1H35M,8.1
198,199,Relatos salvajes,2014,2H2M,8.1
199,200,How to Train Your Dragon,2010,1H38M,8.1
200,201,El moderno Sherlock Holmes,1924,45M,8.2
201,202,Tiburón,1975,2H4M,8.1
202,203,Mary and Max,2009,1H32M,8.1
203,204,El cazador,1978,3H3M,8.1
204,205,El maquinista de La General,1926,1H18M,8.1
205,206,Le Mans &apos;66,2019,2H32M,8.1
206,207,El salario del miedo,1953,2H36M,8.1
207,208,La ley del silencio,1954,1H48M,8.1
208,209,Caballero sin espada,1939,2H9M,8.1
209,210,Fresas salvajes,1957,1H32M,8.1
210,211,Logan,2017,2H17M,8.1
211,212,Rocky,1976,2H,8.1
212,213,El tercer hombre,1949,1H44M,8.1
213,214,Cuentos de Tokio,1953,2H17M,8.1
214,215,Maharaja,2024,2H21M,8.4
215,216,El gran Lebowski,1998,1H57M,8.1
216,217,Spotlight,2015,2H9M,8.1
217,218,Terminator,1984,1H47M,8.1
218,219,El séptimo sello,1957,1H36M,8.1
219,220,La habitación,2015,1H58M,8.1
220,221,Piratas del Caribe: La maldición de la Perla Negra,2003,2H23M,8.1
221,222,El odio,1995,1H38M,8.1
222,223,Jai Bhim,2021,2H44M,8.7
223,224,Hotel Rwanda,2004,2H1M,8.1
224,225,Platoon,1986,2H,8.1
225,226,Los mejores años de nuestra vida,1946,2H50M,8.1
226,227,Antes del atardecer,2004,1H20M,8.1
227,228,El exorcista,1973,2H2M,8.1
228,229,La pasión de Juana de Arco,1928,1H50M,8.1
229,230,El mago de Oz,1939,1H42M,8.1
230,231,Los Increíbles,2004,1H55M,8.0
231,232,Sonrisas y lágrimas,1965,2H52M,8.1
232,233,Rush,2013,2H3M,8.1
233,234,Siempre a tu lado (Hachiko),2009,1H33M,8.1
234,235,Cuenta conmigo,1986,1H29M,8.1
235,236,"Network, un mundo implacable",1976,2H1M,8.1
236,237,Mi padre y mi hijo,2005,1H52M,8.2
237,238,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,1H27M,8.5
238,239,La doncella,2016,2H25M,8.1
239,240,El gigante de hierro,1999,1H26M,8.1
240,241,Ser o no ser,1942,1H39M,8.1
241,242,La batalla de Argel,1966,2H1M,8.1
242,243,Hacia rutas salvajes,2007,2H28M,8.1
243,244,Las uvas de la ira,1940,2H9M,8.1
244,245,Atrapado en el tiempo,1993,1H41M,8.0
245,246,A Silent Voice,2016,2H10M,8.1
246,247,Criadas y señoras,2011,2H26M,8.1
247,248,Amores perros,2000,2H34M,8.0
248,249,Rebeca,1940,2H10M,8.1
249,250,Drishyam,2015,2H43M,8.2
